date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-07-12,00:38.86,HunnyBunny,jump_nepal_rc4,WR,MapRun,03:00.60,+02:21.74,,true,703938,76561198059588968,[U:1:99323240],
2018-07-12,00:38.86,ᴳʸᴺ Hate Ma,jump_nepal_rc4,WR,MapRun,02:37.77,+01:58.91,,true,703938,,,
2018-07-12,00:38.74,Steve,jump_nepal_rc4,WR,MapRecord,,-00:00.10,00:00.66,false,703964,76561198063901478,[U:1:103635750],
2018-07-12,00:38.74,Steve,jump_nepal_rc4,WR,Compact,,,,false,703964,76561198063901478,[U:1:103635750],
2018-07-12,00:38.74,Dawgz,jump_nepal_rc4,WR,MapRun,01:17.23,+00:38.49,,true,703964,76561198076660131,[U:1:116394403],
2018-07-12,00:38.74,Fucking druger,jump_nepal_rc4,WR,MapRun,01:08.47,+00:29.73,,true,703964,76561198138628577,[U:1:178362849],
2018-07-12,00:38.74,Lyle,jump_nepal_rc4,WR,MapRun,01:06.02,+00:27.28,,true,703964,76561198035787281,[U:1:75521553],
2018-07-12,00:38.74,chiimp,jump_nepal_rc4,WR,MapRun,01:22.99,+00:44.25,,true,703964,76561198058152374,[U:1:97886646],
2018-07-12,00:38.74,shlab,jump_nepal_rc4,WR,MapRun,01:15.56,+00:36.82,,true,703964,76561198099670197,[U:1:139404469],
2018-07-12,00:38.75,Walking with Fox,jump_nepal_rc4,WR,MapRun,04:37.47,+03:58.72,,true,703964,76561198132827798,[U:1:172562070],
2018-07-12,00:38.85,Diller,jump_nepal_rc4,WR,Compact,,,,false,703964,,,
2018-07-12,00:38.85,Diller,jump_nepal_rc4,WR,Ranked,,,,true,703964,,,
2018-07-12,00:38.85,Nycryte,jump_nepal_rc4,WR,MapRun,04:31.15,+03:52.30,,true,703964,76561198105277071,[U:1:145011343],
2018-07-12,00:38.85,Scoot,jump_nepal_rc4,WR,MapRun,00:43.09,+00:04.24,,true,703964,76561198049293816,[U:1:89028088],
2018-07-12,00:38.85,Shock,jump_nepal_rc4,WR,MapRun,04:23.29,+03:44.44,,true,703964,76561198027443134,[U:1:67177406],
2018-07-12,00:38.85,Snoww,jump_nepal_rc4,WR,MapRun,06:16.66,+05:37.81,,true,703964,76561198255720598,[U:1:295454870],
2018-07-12,00:38.85,Sp  de,jump_nepal_rc4,WR,MapRun,04:07.78,+03:28.93,,true,703964,76561198074642925,[U:1:114377197],
2018-07-12,00:38.85,kabbber,jump_nepal_rc4,WR,MapRun,01:59.41,+01:20.56,,true,703964,76561198058846478,[U:1:98580750],
2018-07-12,00:38.85,scotch,jump_nepal_rc4,WR,MapRun,00:39.87,+00:01.02,00:00.02,true,703964,76561198041597961,[U:1:81332233],
2018-07-12,00:38.85,scotch,jump_nepal_rc4,WR,MapRun,00:40.12,+00:01.27,,true,703964,76561198041597961,[U:1:81332233],
2018-07-12,00:38.85,scotch,jump_nepal_rc4,WR,MapRun,00:40.54,+00:01.69,,true,703964,76561198041597961,[U:1:81332233],
2018-07-12,00:38.85,scotch,jump_nepal_rc4,WR,MapRun,00:41.32,+00:02.47,,true,703964,76561198041597961,[U:1:81332233],
2018-07-12,00:38.86,kabbber,jump_nepal_rc4,WR,MapRun,01:18.42,+00:39.56,00:40.99,true,703964,76561198058846478,[U:1:98580750],
2018-07-12,00:38.86,scotch,jump_nepal_rc4,WR,MapRun,00:42.39,+00:03.53,,true,703964,76561198041597961,[U:1:81332233],
2018-07-12,00:38.74,Steve,jump_nepal_rc4,WR,IRC,,-00:00.10,,false,704015,76561198063901478,[U:1:103635750],
2018-07-12,00:38.55,devil's advocate,jump_nepal_rc4,WR,IRC,,-00:00.19,,false,704308,76561198366368448,[U:1:406102720],
2018-07-12,00:38.55,devil's advocate,jump_nepal_rc4,WR,IRC,,-00:00.19,,false,704311,,,
2018-07-12,00:37.96,devil's advocate,jump_nepal_rc4,WR,MapRecord,,-00:00.58,00:00.58,false,704322,76561198366368448,[U:1:406102720],
2018-07-12,00:38.55,devil's advocate,jump_nepal_rc4,WR,MapRecord,,-00:00.19,00:00.28,false,704322,76561198366368448,[U:1:406102720],
2018-07-12,00:38.55,devil's advocate,jump_nepal_rc4,WR,MapRun,00:39.56,+00:01.01,,true,704322,76561198366368448,[U:1:406102720],
2018-07-12,00:38.55,devil's advocate,jump_nepal_rc4,WR,MapRun,00:39.91,+00:01.36,,true,704322,76561198366368448,[U:1:406102720],
2018-07-12,00:38.55,devil's advocate,jump_nepal_rc4,WR,MapRun,00:40.03,+00:01.48,,true,704322,76561198366368448,[U:1:406102720],
2018-07-12,00:38.56,devil's advocate,jump_nepal_rc4,WR,MapRun,00:38.73,+00:00.17,,true,704322,76561198366368448,[U:1:406102720],
2018-07-12,00:38.74,devil's advocate,jump_nepal_rc4,WR,MapRun,00:38.83,+00:00.09,00:00.28,true,704322,76561198366368448,[U:1:406102720],
2018-07-12,00:38.74,devil's advocate,jump_nepal_rc4,WR,MapRun,00:39.11,+00:00.37,00:01.00,true,704322,76561198366368448,[U:1:406102720],
2018-07-12,00:38.74,devil's advocate,jump_nepal_rc4,WR,MapRun,00:40.48,+00:01.74,,true,704322,76561198366368448,[U:1:406102720],
2018-07-12,00:38.75,devil's advocate,jump_nepal_rc4,WR,MapRun,00:39.34,+00:00.59,,true,704322,76561198366368448,[U:1:406102720],
2018-07-13,00:37.42,Diller,jump_nepal_rc4,WR,MapRecord,,-00:00.54,00:01.02,false,704854,76561198040963460,[U:1:80697732],
2018-07-13,00:37.42,Meltrox,jump_nepal_rc4,WR,MapRun,03:33.53,+02:56.11,,true,704854,76561198068223837,[U:1:107958109],
2018-07-13,00:37.42,newjuls,jump_nepal_rc4,WR,MapRun,00:44.80,+00:07.38,00:06.24,true,704854,76561198396018338,[U:1:435752610],
2018-07-13,00:37.43,Diller,jump_nepal_rc4,WR,MapRun,00:37.95,+00:00.52,,true,704854,76561198040963460,[U:1:80697732],
2018-07-13,00:37.43,T39O lft,jump_nepal_rc4,WR,MapRun,05:21.03,+04:43.60,,true,704854,76561198128711847,[U:1:168446119],
2018-07-13,00:37.96,CyNickal,jump_nepal_rc4,WR,MapRun,03:38.80,+03:00.84,,true,704854,76561198133966374,[U:1:173700646],
2018-07-13,00:37.96,Diller,jump_nepal_rc4,WR,MapRun,00:38.44,+00:00.48,00:00.31,true,704854,76561198040963460,[U:1:80697732],
2018-07-13,00:37.96,Diller,jump_nepal_rc4,WR,MapRun,00:38.60,+00:00.64,,true,704854,76561198040963460,[U:1:80697732],
2018-07-13,00:37.96,Diller,jump_nepal_rc4,WR,MapRun,00:38.75,+00:00.79,00:00.04,true,704854,76561198040963460,[U:1:80697732],
2018-07-13,00:37.96,Diller,jump_nepal_rc4,WR,MapRun,00:38.80,+00:00.84,00:00.02,true,704854,76561198040963460,[U:1:80697732],
2018-07-13,00:37.96,Diller,jump_nepal_rc4,WR,MapRun,00:39.73,+00:01.77,,true,704854,76561198040963460,[U:1:80697732],
2018-07-13,00:37.97,Diller,jump_nepal_rc4,WR,MapRun,00:38.83,+00:00.86,00:00.01,true,704854,76561198040963460,[U:1:80697732],
2018-07-13,00:37.97,Diller,jump_nepal_rc4,WR,MapRun,00:39.42,+00:01.45,,true,704854,76561198040963460,[U:1:80697732],
2018-07-13,00:37.97,Diller,jump_nepal_rc4,WR,MapRun,00:40.26,+00:02.29,,true,704854,76561198040963460,[U:1:80697732],
2018-07-13,00:37.97,Diller,jump_nepal_rc4,WR,MapRun,00:40.80,+00:02.83,,true,704854,76561198040963460,[U:1:80697732],
2018-07-13,00:37.97,Diller,jump_nepal_rc4,WR,MapRun,00:41.10,+00:03.13,,true,704854,76561198040963460,[U:1:80697732],
2018-07-14,00:36.77,devil's advocate,jump_nepal_rc4,WR,MapRecord,,-00:00.49,00:00.49,false,705713,76561198366368448,[U:1:406102720],
2018-07-14,00:37.27,devil's advocate,jump_nepal_rc4,WR,MapRecord,,-00:00.14,00:00.19,false,705713,76561198366368448,[U:1:406102720],
2018-07-14,00:37.42,devil's advocate,jump_nepal_rc4,WR,MapRun,00:39.17,+00:01.75,,true,705713,76561198366368448,[U:1:406102720],
2018-07-14,00:37.43,devil's advocate,jump_nepal_rc4,WR,MapRun,00:37.65,+00:00.22,,true,705713,76561198366368448,[U:1:406102720],
2018-07-14,00:37.43,devil's advocate,jump_nepal_rc4,WR,MapRun,00:37.83,+00:00.40,,true,705713,76561198366368448,[U:1:406102720],
2018-07-14,00:36.77,frantic disembow,jump_nepal_rc4,WR,MapRun,02:53.90,+02:17.13,,true,705888,,,
2018-07-14,00:36.77,ghostac,jump_nepal_rc4,WR,MapRun,05:37.19,+05:00.42,,true,705888,76561197995555725,[U:1:35289997],
2018-07-14,00:36.78,Jaffxsman,jump_nepal_rc4,WR,MapRun,02:32.02,+01:55.24,,true,705888,76561198091905306,[U:1:131639578],
2018-07-14,00:36.78,angious^,jump_nepal_rc4,WR,MapRun,04:06.30,+03:29.52,,true,705888,76561198048843088,[U:1:88577360],
2018-07-14,00:36.78,b e r n t,jump_nepal_rc4,WR,MapRun,00:41.68,+00:04.90,00:00.55,true,705888,76561198017732809,[U:1:57467081],
2018-07-14,00:36.78,b e r n t,jump_nepal_rc4,WR,MapRun,00:42.82,+00:06.04,,true,705888,76561198017732809,[U:1:57467081],
2018-07-14,00:36.78,b e r n t,jump_nepal_rc4,WR,MapRun,00:43.14,+00:06.36,,true,705888,76561198017732809,[U:1:57467081],
2018-07-14,00:36.78,b e r n t,jump_nepal_rc4,WR,MapRun,00:43.18,+00:06.40,,true,705888,76561198017732809,[U:1:57467081],
2018-07-14,00:36.78,b e r n t,jump_nepal_rc4,WR,MapRun,00:43.69,+00:06.91,,true,705888,76561198017732809,[U:1:57467081],
2018-07-14,00:36.78,b e r n t,jump_nepal_rc4,WR,MapRun,00:43.87,+00:07.09,,true,705888,76561198017732809,[U:1:57467081],
2018-07-14,00:36.78,b e r n t,jump_nepal_rc4,WR,MapRun,02:13.56,+01:36.78,,true,705888,76561198017732809,[U:1:57467081],
2018-07-14,00:36.78,falconxerxes,jump_nepal_rc4,WR,MapRun,03:22.89,+02:46.11,,true,705888,76561198126940894,[U:1:166675166],
2018-07-14,00:36.78,pissybwai,jump_nepal_rc4,WR,MapRun,01:12.93,+00:36.15,,true,705888,76561198045707908,[U:1:85442180],
2018-07-14,00:36.78,tear,jump_nepal_rc4,WR,MapRun,00:42.06,+00:05.28,00:01.09,true,705888,76561198066947056,[U:1:106681328],
2018-07-14,00:36.78,tear,jump_nepal_rc4,WR,MapRun,00:43.15,+00:06.37,00:03.92,true,705888,76561198066947056,[U:1:106681328],
2018-07-14,00:36.78,tear,jump_nepal_rc4,WR,MapRun,00:47.08,+00:10.30,00:02.95,true,705888,76561198066947056,[U:1:106681328],
2018-07-14,00:36.78,tear,jump_nepal_rc4,WR,MapRun,00:50.04,+00:13.26,00:01.51,true,705888,76561198066947056,[U:1:106681328],
2018-07-14,00:36.78,tear,jump_nepal_rc4,WR,MapRun,00:51.55,+00:14.77,01:33.63,true,705888,76561198066947056,[U:1:106681328],
2018-07-14,00:36.78,tear,jump_nepal_rc4,WR,MapRun,02:25.18,+01:48.40,,true,705888,76561198066947056,[U:1:106681328],
2018-07-16,00:36.77,devil's advocate,jump_nepal_rc4,WR,Compact,,,,false,707939,76561198366368448,[U:1:406102720],
2018-07-16,00:36.77,devil's advocate,jump_nepal_rc4,WR,MapRun,00:37.28,+00:00.51,,true,707939,76561198366368448,[U:1:406102720],
2018-07-16,00:36.77,★ riela,jump_nepal_rc4,WR,MapRun,00:42.71,+00:05.94,,true,707939,76561198017342289,[U:1:57076561],
2018-07-16,00:36.78,Nipsii,jump_nepal_rc4,WR,MapRun,02:55.14,+02:18.36,,true,707939,76561198332798140,[U:1:372532412],
2018-07-16,00:36.78,devil's advocate,jump_nepal_rc4,WR,MapRun,00:39.18,+00:02.40,,true,707939,76561198366368448,[U:1:406102720],
2018-07-16,00:36.78,l4nny( ͡° ͜,jump_nepal_rc4,WR,MapRun,03:09.79,+02:33.01,,true,707939,,,
2018-07-16,00:36.78,nayeon,jump_nepal_rc4,WR,MapRun,05:20.76,+04:43.98,,true,707939,76561198049344399,[U:1:89078671],
2018-07-16,00:36.78,zee★,jump_nepal_rc4,WR,MapRun,03:26.79,+02:50.01,,true,707939,76561198033733429,[U:1:73467701],
2018-07-16,00:36.78,★ riela,jump_nepal_rc4,WR,MapRun,00:42.57,+00:05.79,00:06.40,true,707939,76561198017342289,[U:1:57076561],
2018-07-16,00:36.78,★ riela,jump_nepal_rc4,WR,MapRun,00:48.97,+00:12.19,,true,707939,76561198017342289,[U:1:57076561],
2018-07-17,00:36.67,kidder,jump_nepal_rc4,WR,MapRecord,,-00:00.10,00:00.60,false,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.67,kidder,jump_nepal_rc4,WR,Ranked,,,,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.67,kidder,jump_nepal_rc4,WR,MapRun,00:36.89,+00:00.22,,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.67,kidder,jump_nepal_rc4,WR,MapRun,00:38.65,+00:01.98,,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.67,yin`,jump_nepal_rc4,WR,MapRun,02:22.27,+01:45.60,02:57.16,true,709759,76561198238998196,[U:1:278732468],
2018-07-17,00:36.68,kidder,jump_nepal_rc4,WR,MapRun,00:37.80,+00:01.12,,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.68,yin`,jump_nepal_rc4,WR,MapRun,05:19.44,+04:42.76,,true,709759,76561198238998196,[U:1:278732468],
2018-07-17,00:36.77,kidder,jump_nepal_rc4,WR,MapRun,00:39.41,+00:02.64,,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.77,kidder,jump_nepal_rc4,WR,MapRun,00:40.22,+00:03.45,00:00.39,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,arch,jump_nepal_rc4,WR,MapRun,03:44.72,+03:07.94,,true,709759,76561198080256860,[U:1:119991132],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:37.27,+00:00.49,00:00.34,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:37.62,+00:00.84,00:01.42,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:38.13,+00:01.35,,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:38.65,+00:01.87,,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:38.83,+00:02.05,,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:39.04,+00:02.26,00:00.13,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:39.18,+00:02.40,00:01.04,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:39.35,+00:02.57,,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:39.51,+00:02.73,,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:40.45,+00:03.67,,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:40.62,+00:03.84,00:00.70,true,709759,76561198000949987,[U:1:40684259],
2018-07-17,00:36.78,kidder,jump_nepal_rc4,WR,MapRun,00:41.32,+00:04.54,,true,709759,76561198000949987,[U:1:40684259],
2018-07-18,00:36.18,kidder,jump_nepal_rc4,WR,IRC,,-00:00.47,,false,710047,,,
2018-07-18,00:36.66,kidder,jump_nepal_rc4,WR,IRC,,-00:00.01,,false,710047,,,
2018-07-18,00:36.18,kidder,jump_nepal_rc4,WR,MapRecord,,-00:00.47,00:00.47,false,710070,76561198000949987,[U:1:40684259],
2018-07-18,00:36.66,kidder,jump_nepal_rc4,WR,MapRecord,,-00:00.01,00:00.01,false,710070,76561198000949987,[U:1:40684259],
2018-07-18,00:36.66,kidder,jump_nepal_rc4,WR,MapRun,00:36.73,+00:00.07,,true,710070,76561198000949987,[U:1:40684259],
2018-07-18,00:36.66,kidder,jump_nepal_rc4,WR,MapRun,00:37.21,+00:00.55,,true,710070,76561198000949987,[U:1:40684259],
2018-07-18,00:36.66,kidder,jump_nepal_rc4,WR,MapRun,00:37.93,+00:01.27,,true,710070,76561198000949987,[U:1:40684259],
2018-07-18,00:36.66,kidder,jump_nepal_rc4,WR,MapRun,00:39.31,+00:02.65,,true,710070,76561198000949987,[U:1:40684259],
2018-07-18,00:36.67,kidder,jump_nepal_rc4,WR,MapRun,00:36.70,+00:00.03,,true,710070,76561198000949987,[U:1:40684259],
2018-07-18,00:36.67,kidder,jump_nepal_rc4,WR,MapRun,00:39.97,+00:03.30,,true,710070,76561198000949987,[U:1:40684259],
2018-07-18,00:36.68,kidder,jump_nepal_rc4,WR,MapRun,00:42.54,+00:05.86,,true,710070,76561198000949987,[U:1:40684259],
2018-07-18,00:36.68,kidder,jump_nepal_rc4,WR,MapRun,01:04.53,+00:27.85,,true,710070,76561198000949987,[U:1:40684259],
2018-07-18,00:36.66,kidder,jump_nepal_rc4,WR,IRC,,-00:00.01,,false,710105,,,
2018-07-19,00:35.91,ronin,jump_nepal_rc4,WR,MapRecord,,-00:00.26,00:00.65,false,710959,76561198366368448,[U:1:406102720],
2018-07-19,00:36.18,..,jump_nepal_rc4,WR,MapRun,05:35.06,+04:58.88,,true,710959,76561198105984518,[U:1:145718790],
2018-07-19,00:36.18,Speeding Rex,jump_nepal_rc4,WR,MapRun,19:10.81,+18:34.63,,true,710959,76561198112796425,[U:1:152530697],
2018-07-19,00:36.18,ronin,jump_nepal_rc4,WR,MapRun,00:36.57,+00:00.39,00:00.20,true,710959,76561198366368448,[U:1:406102720],
2018-07-19,00:36.18,ronin,jump_nepal_rc4,WR,MapRun,00:37.22,+00:01.04,,true,710959,76561198366368448,[U:1:406102720],
2018-07-19,00:36.18,ronin,jump_nepal_rc4,WR,MapRun,00:37.78,+00:01.60,,true,710959,76561198366368448,[U:1:406102720],
2018-07-19,00:36.18,win,jump_nepal_rc4,WR,MapRun,02:12.24,+01:36.06,,true,710959,76561198303440560,[U:1:343174832],
2018-08-20,00:35.91,Edvinas,jump_nepal_rc4,WR,MapRun,02:29.02,+01:53.11,,true,739414,76561198806362797,[U:1:846097069],
2018-08-20,00:35.91,Kappastry,jump_nepal_rc4,WR,MapRun,03:43.33,+03:07.42,,true,739414,76561198111608504,[U:1:151342776],
2018-08-20,00:35.91,b0nagro,jump_nepal_rc4,WR,MapRun,02:52.81,+02:16.90,,true,739414,76561198073267028,[U:1:113001300],
2018-08-20,00:35.91,prese,jump_nepal_rc4,WR,MapRun,03:38.04,+03:02.13,,true,739414,76561198837124647,[U:1:876858919],
2018-09-04,00:35.91,Mack,jump_nepal_rc4,WR,MapRun,02:04.66,+01:28.75,,true,752140,76561198090088613,[U:1:129822885],
2018-09-04,00:35.91,Rcon Kick Greek,jump_nepal_rc4,WR,MapRun,01:55.24,+01:19.33,,true,752140,76561198116230594,[U:1:155964866],
2018-09-04,00:35.91,garboman,jump_nepal_rc4,WR,MapRun,03:43.12,+03:07.21,,true,752140,76561198066115494,[U:1:105849766],
2018-09-26,00:35.92,Stop #TF2SP,jump_nepal_rc4,WR,MapRun,01:31.20,+00:55.28,,true,772597,76561198243727906,[U:1:283462178],
2018-10-01,00:35.74,Boshy,jump_nepal_rc4,WR,MapRecord,,-00:00.16,00:00.52,false,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.74,Boshy,jump_nepal_rc4,WR,MapRun,00:35.87,+00:00.13,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.74,Boshy,jump_nepal_rc4,WR,MapRun,00:36.62,+00:00.88,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.74,Boshy,jump_nepal_rc4,WR,MapRun,00:37.01,+00:01.27,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.74,Boshy,jump_nepal_rc4,WR,MapRun,00:37.33,+00:01.59,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.74,Boshy,jump_nepal_rc4,WR,MapRun,00:38.51,+00:02.77,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.75,Boshy,jump_nepal_rc4,WR,MapRun,00:35.95,+00:00.20,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.75,Boshy,jump_nepal_rc4,WR,MapRun,00:36.33,+00:00.58,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.75,Boshy,jump_nepal_rc4,WR,MapRun,00:36.37,+00:00.62,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.75,Boshy,jump_nepal_rc4,WR,MapRun,00:36.61,+00:00.86,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.75,Boshy,jump_nepal_rc4,WR,MapRun,00:36.61,+00:00.86,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.75,Boshy,jump_nepal_rc4,WR,MapRun,00:37.18,+00:01.43,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.75,Boshy,jump_nepal_rc4,WR,MapRun,00:37.48,+00:01.73,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.75,Boshy,jump_nepal_rc4,WR,MapRun,00:39.91,+00:04.16,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.91,Boshy,jump_nepal_rc4,WR,MapRun,00:36.55,+00:00.64,00:00.32,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.91,Boshy,jump_nepal_rc4,WR,MapRun,00:36.88,+00:00.97,00:00.75,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.91,Boshy,jump_nepal_rc4,WR,MapRun,00:37.63,+00:01.72,00:00.44,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.91,Boshy,jump_nepal_rc4,WR,MapRun,00:37.85,+00:01.94,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.91,Boshy,jump_nepal_rc4,WR,MapRun,00:38.08,+00:02.17,00:01.32,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.91,Boshy,jump_nepal_rc4,WR,MapRun,00:39.40,+00:03.49,00:00.10,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.91,Boshy,jump_nepal_rc4,WR,MapRun,00:40.77,+00:04.86,00:04.43,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.91,Boshy,jump_nepal_rc4,WR,MapRun,00:42.86,+00:06.95,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.91,Boshy,jump_nepal_rc4,WR,MapRun,00:47.00,+00:11.09,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.92,10,jump_nepal_rc4,WR,MapRun,02:21.72,+01:45.80,,true,777446,76561198312076035,[U:1:351810307],
2018-10-01,00:35.92,Boshy,jump_nepal_rc4,WR,MapRun,00:36.27,+00:00.35,00:00.28,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.92,Boshy,jump_nepal_rc4,WR,MapRun,00:36.39,+00:00.47,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.92,Boshy,jump_nepal_rc4,WR,MapRun,00:37.92,+00:02.00,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.92,Boshy,jump_nepal_rc4,WR,MapRun,00:38.28,+00:02.36,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.92,Boshy,jump_nepal_rc4,WR,MapRun,00:39.51,+00:03.59,00:01.26,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.92,Boshy,jump_nepal_rc4,WR,MapRun,00:40.17,+00:04.25,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.92,Boshy,jump_nepal_rc4,WR,MapRun,00:40.53,+00:04.61,,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.92,Boshy,jump_nepal_rc4,WR,MapRun,00:45.21,+00:09.29,00:04.73,true,777446,76561198046601398,[U:1:86335670],
2018-10-01,00:35.92,Boshy,jump_nepal_rc4,WR,MapRun,00:49.95,+00:14.03,00:13.47,true,777446,76561198046601398,[U:1:86335670],
2018-11-20,00:35.28,topkek,jump_nepal_rc4,WR,MapRecord,,-00:00.46,00:00.63,false,820887,76561198366368448,[U:1:406102720],
2018-11-20,00:35.74,BIG_CHODE_NEMO,jump_nepal_rc4,WR,MapRun,01:11.89,+00:36.15,,true,820887,76561198263963808,[U:1:303698080],
2018-11-20,00:35.74,Boshy,jump_nepal_rc4,WR,Ranked,,,,true,820887,,,
2018-11-20,00:35.75,topkek,jump_nepal_rc4,WR,MapRun,00:36.48,+00:00.73,,true,820887,76561198366368448,[U:1:406102720],
2018-11-20,00:35.75,topkek,jump_nepal_rc4,WR,MapRun,00:38.01,+00:02.26,,true,820887,76561198366368448,[U:1:406102720],
2018-11-20,00:34.89,Boshy,jump_nepal_rc4,WR,MapRecord,,-00:00.13,00:00.13,false,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRecord,,-00:00.22,00:00.22,false,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:35.15,+00:00.13,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:35.26,+00:00.24,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:35.29,+00:00.27,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:35.65,+00:00.63,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:35.68,+00:00.66,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:35.71,+00:00.69,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:35.93,+00:00.91,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:36.44,+00:01.42,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:36.46,+00:01.44,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:36.67,+00:01.65,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:37.13,+00:02.11,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:38.15,+00:03.13,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:38.26,+00:03.24,,true,820971,76561198046601398,[U:1:86335670],
2018-11-20,00:35.02,Boshy,jump_nepal_rc4,WR,MapRun,00:39.50,+00:04.48,,true,820971,76561198046601398,[U:1:86335670],
