date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-12,09:06.37,Xtra,jump_onion_v2,WR,MapRecord,,-02:45.75,,false,10468,76561198041487315,STEAM_0:1:40610793,
2014-07-12,11:52.12,LightFox,jump_onion_v2,WR,FirstRecord,,,,false,10468,76561198051610309,STEAM_0:1:45672290,
2014-07-12,02:48.65,cody',jump_onion_v2,WR,IRC,,-01:26.25,,false,10517,,,
2014-07-12,04:14.91,cody',jump_onion_v2,WR,IRC,,-04:51.46,,false,10517,,,
2014-07-12,02:48.65,cody',jump_onion_v2,WR,MapRecord,,-01:26.25,01:26.25,false,10522,76561198078488228,STEAM_0:0:59111250,
2014-07-12,04:14.91,cody',jump_onion_v2,WR,MapRecord,,-04:51.46,,false,10522,76561198078488228,STEAM_0:0:59111250,
2014-07-29,02:44.64,Seras,jump_onion_v2,WR,MapRecord,,-00:04.01,02:05.86,false,12750,76561198070882254,STEAM_0:0:55308263,
2014-10-15,02:42.07,Kucino -kk,jump_onion_v2,WR,IRC,,-00:02.56,,false,23815,,,
2014-10-15,02:42.07,Kucino -kk,jump_onion_v2,WR,MapRecord,,-00:02.56,,false,23845,76561198045405184,[U:1:85139456],
2014-10-27,02:25.25,Seras,jump_onion_v2,WR,IRC,,-00:16.81,,false,26504,,,
2014-10-27,02:25.25,Seras,jump_onion_v2,WR,MapRecord,,-00:16.81,00:19.38,false,26508,76561198070882254,[U:1:110616526],
2014-11-07,02:02.11,minty,jump_onion_v2,WR,MapRecord,,-00:23.14,01:47.98,false,28986,76561198050815941,[U:1:90550213],
2015-04-11,01:44.44,KucinＯM'$,jump_onion_v2,WR,MapRecord,,-00:14.53,00:14.53,false,81458,76561198045405184,[U:1:85139456],
2015-04-11,01:58.97,KucinＯM'$,jump_onion_v2,WR,MapRecord,,-00:03.13,00:11.93,false,81458,76561198045405184,[U:1:85139456],
2015-04-29,01:31.42,Hello my friends,jump_onion_v2,WR,MapRecord,,-00:13.02,00:18.27,false,87801,,,
2017-11-19,01:21.60,mesatech,jump_onion_v2,WR,IRC,,-00:00.85,,false,506606,,,
2017-11-19,01:21.60,mesatech,jump_onion_v2,WR,MapRecord,,-00:00.85,00:01.27,false,506689,76561198111845972,[U:1:151580244],
2018-08-20,01:19.72,QUACK LIKE A DUC,jump_onion_v2,WR,MapRecord,,-00:01.87,03:11.94,false,738891,,,
2018-08-20,01:19.72,QUACK LIKE A DUC,jump_onion_v2,WR,IRC,,-00:01.87,,false,738892,,,
2019-08-09,01:15.46,Boshy,jump_onion_v2,WR,MapRecord,,-00:00.26,00:00.36,false,1030137,76561198046601398,[U:1:86335670],
2019-08-09,01:15.73,hope not,jump_onion_v2,WR,Compact,,,,false,1030137,,,
2019-08-09,01:15.46,Boshy,jump_onion_v2,WR,IRC,,-00:00.26,,false,1030167,76561198046601398,[U:1:86335670],
2021-04-04,01:13.14,vice,jump_onion_v2,WR,IRC,,-00:02.33,,false,1555264,,,
2021-04-04,01:13.14,vice,jump_onion_v2,WR,MapRecord,,-00:02.33,00:06.58,false,1555328,76561198366368448,[U:1:406102720],
2021-04-04,01:15.47,Boshy,jump_onion_v2,WR,Compact,,,,false,1555328,,,
