date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2024-05-31,00:41.86,Waldo,jump_urbex_rc3,WR,Map,record,first_record,,,,2881671,76561198020256631,[U:1:59990903],
2024-05-31,00:05.52,Waldo,jump_urbex_rc3,WR,Bonus 1,record,zone_first,,,,2881671,76561198020256631,[U:1:59990903],
2024-05-31,00:04.44,scoob,jump_urbex_rc3,WR,Bonus 1,record,zone_record,,-00:01.08,,2881739,76561198121428371,[U:1:161162643],
2024-05-31,00:03.90,scoob,jump_urbex_rc3,WR,Bonus 1,record,zone_record,,-00:00.54,00:00.54,2881739,76561198121428371,[U:1:161162643],
2024-05-31,00:35.23,•͜•,jump_urbex_rc3,WR,Map,record,map_record,,-00:06.63,,2881746,76561198831069486,[U:1:870803758],
2024-05-31,00:29.44,kratos,jump_urbex_rc3,WR,Map,record,map_record,,-00:05.79,,2881746,76561198930334128,[U:1:970068400],
2024-05-31,00:25.83,kratos,jump_urbex_rc3,WR,Map,record,map_record,,-00:03.61,00:03.61,2881746,76561198930334128,[U:1:970068400],
2024-05-31,00:24.58,kratos,jump_urbex_rc3,WR,Map,record,map_record,,-00:01.24,00:01.24,2881746,76561198930334128,[U:1:970068400],
2024-05-31,00:24.36,kratos,jump_urbex_rc3,WR,Map,record,map_record,,-00:00.22,00:00.22,2881746,76561198930334128,[U:1:970068400],
2024-05-31,00:24.13,kratos,jump_urbex_rc3,WR,Map,record,map_record,,-00:00.22,00:00.22,2881746,76561198930334128,[U:1:970068400],
2024-05-31,00:23.31,cander,jump_urbex_rc3,WR,Map,record,map_record,,-00:00.82,00:02.14,2882044,76561198318722879,[U:1:358457151],
2024-05-31,00:03.57,Waldo,jump_urbex_rc3,WR,Bonus 1,command,wr_command,,,,,,,
2024-05-31,00:03.36,cander,jump_urbex_rc3,WR,Bonus 1,record,zone_record,,-00:00.21,,2882044,76561198318722879,[U:1:358457151],
2024-06-01,00:03.33,Waldo,jump_urbex_rc3,WR,Bonus 1,record,zone_record,,-00:00.24,00:00.24,2883189,76561198020256631,[U:1:59990903],
2024-06-01,00:02.91,Waldo,jump_urbex_rc3,WR,Bonus 1,record,zone_record,,-00:00.42,00:00.42,2884530,76561198020256631,[U:1:59990903],
2024-06-03,00:23.29,^._.^,jump_urbex_rc3,WR,Map,record,map_record,,-00:00.01,00:00.45,2887438,76561198094197569,[U:1:133931841],
2024-06-03,00:22.96,^._.^,jump_urbex_rc3,WR,Map,record,map_record,,-00:00.33,00:00.33,2887438,76561198094197569,[U:1:133931841],
2024-06-04,00:22.65,^._.^,jump_urbex_rc3,WR,Map,record,map_record,,-00:00.31,00:00.31,2888592,76561198094197569,[U:1:133931841],
2024-06-04,00:21.81,cander,jump_urbex_rc3,WR,Map,record,map_record,,-00:00.84,00:00.85,2888703,76561198318722879,[U:1:358457151],
