date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-18,06:13.69,Pluto,jump_noob_a1a,WR,MapRecord,,-00:23.95,01:33.18,false,11327,76561198044511072,STEAM_0:0:42122672,
2014-07-20,05:59.58,Pluto,jump_noob_a1a,WR,MapRecord,,-00:14.10,00:14.10,false,11572,76561198044511072,STEAM_0:0:42122672,
2014-07-22,05:27.41,big papa han,jump_noob_a1a,WR,MapRecord,,-00:32.17,,false,11901,76561198029546534,STEAM_0:0:34640403,
2014-07-23,04:55.50,Pluto,jump_noob_a1a,WR,MapRecord,,-00:31.90,01:04.08,false,12039,76561198044511072,STEAM_0:0:42122672,
2014-07-23,04:55.50,Pluto,jump_noob_a1a,WR,IRC,,-00:31.90,,false,12040,,,
2014-08-08,04:23.49,MEOMEO,jump_noob_a1a,WR,MapRecord,,-00:32.00,01:20.29,false,14520,76561198053067670,STEAM_0:0:46400971,
2014-08-08,04:23.49,MEOMEO,jump_noob_a1a,WR,IRC,,-00:32.00,,false,14523,,,
2014-08-08,04:23.49,MEOMEO,jump_noob_a1a,WR,IRC,,-00:32.00,,false,14524,76561198053067670,STEAM_0:0:46400971,
2014-11-10,04:09.25,jondy,jump_noob_a1a,WR,MapRecord,,-00:14.02,00:14.02,false,29582,76561198055778722,[U:1:95512994],
2014-11-10,04:23.27,jondy,jump_noob_a1a,WR,MapRecord,,-00:00.21,00:24.16,false,29582,76561198055778722,[U:1:95512994],
2014-11-16,03:58.87,Pluto,jump_noob_a1a,WR,MapRecord,,-00:10.38,01:06.91,false,30890,76561198044511072,[U:1:84245344],
2015-04-06,03:53.99,jondyj,jump_noob_a1a,WR,MapRecord,,-00:04.87,00:15.25,false,79953,76561198055778722,[U:1:95512994],
2018-09-11,02:32.45,Boshy,jump_noob_a1a,WR,Ranked,,,,true,758951,76561198046601398,[U:1:86335670],
