date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2014-07-12,05:33.85,Bane,jump_ultra_alpha,WR,IRC,,-02:21.99,,false,10452,76561198040260189,STEAM_0:1:39997230
2014-07-12,02:49.06,kil boy 1,jump_ultra_alpha,WR,MapRecord,,-01:21.58,01:21.58,false,10456,76561198040983512,STEAM_0:0:40358892
2014-07-29,02:32.25,deathmaker35,jump_ultra_alpha,WR,MapRecord,,-00:16.81,00:16.81,false,12834,76561198040983512,STEAM_0:0:40358892
2014-08-28,02:29.36,dont look to the...,jump_ultra_alpha,WR,MapRecord,,-00:02.88,00:18.67,false,18639,76561198045405184,[U:1:85139456]
2014-09-28,02:21.65,kUcino -kk,jump_ultra_alpha,WR,MapRecord,,-00:07.71,00:07.71,false,21562,76561198045405184,[U:1:85139456]
2014-10-25,02:18.52,Samurai,jump_ultra_alpha,WR,MapRecord,,-00:03.13,00:06.91,false,25982,76561198048236806,[U:1:87971078]
2014-11-15,02:17.81,Fos,jump_ultra_alpha,WR,MapRecord,,-00:00.70,00:00.70,false,30773,,
2015-03-06,02:11.82,Ltfx,jump_ultra_alpha,WR,MapRecord,,-00:05.99,00:09.63,false,67767,,
2015-06-03,02:09.52,Evan,jump_ultra_alpha,WR,MapRecord,,-00:02.30,00:09.74,false,101719,,
2015-06-23,01:57.52,Soup Can,jump_ultra_alpha,WR,MapRecord,,-00:11.99,00:15.53,false,109784,,
2018-03-17,01:44.85,mesatech,jump_ultra_alpha,WR,MapRecord,,-00:07.88,00:07.88,false,601142,76561198111845972,[U:1:151580244]
2019-01-04,01:43.14,Boshy,jump_ultra_alpha,WR,IRC,,-00:01.70,,false,858121,,
2021-03-24,01:41.29,vice,jump_ultra_alpha,WR,IRC,,-00:01.85,,false,1544723,,
