date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-30,00:08.09,Aurora,jump_ice_v4,WR,Bonus 2,,,,false,12965,76561198053067670,STEAM_0:0:46400971,
2014-07-30,01:38.35,Tone-Pot,jump_ice_v4,WR,MapRecord,,-00:07.37,00:11.39,false,12985,76561198053067670,STEAM_0:0:46400971,
2014-10-15,01:33.49,jondy,jump_ice_v4,WR,IRC,,-00:04.86,,false,23876,,,
2014-10-15,01:33.49,jondy,jump_ice_v4,WR,MapRecord,,-00:04.86,00:04.87,false,23881,76561198055778722,[U:1:95512994],
2015-02-10,01:26.61,jdollo,jump_ice_v4,WR,MapRecord,,-00:06.88,00:06.88,false,59848,76561198055778722,[U:1:95512994],
2015-02-22,01:25.20,laz,jump_ice_v4,WR,MapRecord,,-00:01.40,00:03.38,false,64046,76561197992998578,[U:1:32732850],
2015-02-25,01:23.50,jndzy -tt,jump_ice_v4,WR,MapRecord,,-00:01.69,00:03.10,false,64816,76561198055778722,[U:1:95512994],
2018-04-28,01:10.97,Boshy,jump_ice_v4,WR,MapRecord,,-00:03.27,00:03.27,false,635290,76561198046601398,[U:1:86335670],
2018-04-28,01:14.25,Boshy,jump_ice_v4,WR,Compact,,,,false,635290,76561198046601398,[U:1:86335670],
2018-04-28,01:10.97,Boshy,jump_ice_v4,WR,IRC,,-00:03.27,,false,635324,,,
2020-02-29,00:07.24,Boshy,jump_ice_v4,WR,Bonus 2,,-00:00.17,00:00.17,false,1184305,76561198046601398,[U:1:86335670],
2020-08-02,01:07.81,Boshy,jump_ice_v4,WR,IRC,,-00:00.09,,false,1316308,76561198046601398,[U:1:86335670],
2020-08-02,01:07.90,Boshy,jump_ice_v4,WR,IRC,,-00:01.94,,false,1316308,76561198046601398,[U:1:86335670],
2020-08-02,01:09.85,Boshy,jump_ice_v4,WR,IRC,,-00:01.12,,false,1316308,76561198046601398,[U:1:86335670],
2020-08-03,01:07.90,Boshy,jump_ice_v4,WR,IRC,,-00:01.94,,false,1316510,,,
2020-08-03,01:09.85,Boshy,jump_ice_v4,WR,IRC,,-00:01.12,,false,1316510,,,
2020-08-03,01:06.74,Boshy,jump_ice_v4,WR,MapRecord,,-00:01.06,00:01.06,false,1316515,76561198046601398,[U:1:86335670],
2020-08-03,01:07.81,Boshy,jump_ice_v4,WR,MapRecord,,-00:00.09,00:00.09,false,1316515,76561198046601398,[U:1:86335670],
2020-08-03,01:07.90,Boshy,jump_ice_v4,WR,MapRecord,,-00:01.94,00:01.94,false,1316515,76561198046601398,[U:1:86335670],
2020-08-03,01:09.85,Boshy,jump_ice_v4,WR,MapRecord,,-00:01.12,00:01.12,false,1316515,76561198046601398,[U:1:86335670],
2021-05-03,00:07.30,riot,jump_ice_v4,WR,Bonus 2,,-00:00.30,00:01.30,false,1579681,76561198065169685,[U:1:104903957],
2021-05-03,00:13.35,riot,jump_ice_v4,WR,Bonus 1,,-00:03.55,00:47.26,false,1579681,76561198065169685,[U:1:104903957],
2022-07-20,01:06.33,ondkaja,jump_ice_v4,WR,IRC,,-00:00.42,,false,2007004,,,
2022-07-20,01:06.33,ondkaja,jump_ice_v4,WR,MapRecord,,-00:00.42,00:03.42,false,2007006,76561198010123351,[U:1:49857623],
2023-06-21,01:06.33,ondkaja,jump_ice_v4,WR,Compact,,,,false,2373646,,,
2023-06-21,01:06.33,ondkaja,jump_ice_v4,WR,Compact,,,,false,2373646,,,
