date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-04-14,01:31.57,Starkie,jump_dan2,WR,MapRecord,,-00:02.06,00:02.23,false,624458,76561198008003429,[U:1:47737701],
2018-07-17,01:30.58,Meti ♥,jump_dan2,WR,MapRecord,,-00:00.98,00:14.32,false,709398,,,Meti ♥|76561198396018338|[U:1:435752610];Meti ♥|76561198046601398|[U:1:86335670]
2018-07-17,01:31.57,Meti ♥,jump_dan2,WR,Compact,,,,false,709398,,,Meti ♥|76561198396018338|[U:1:435752610];Meti ♥|76561198046601398|[U:1:86335670]
2018-07-17,01:31.57,Meti ♥,jump_dan2,WR,Compact,,,,false,709398,,,Meti ♥|76561198396018338|[U:1:435752610];Meti ♥|76561198046601398|[U:1:86335670]
2019-02-12,01:30.24,Elandi!!,jump_dan2,WR,MapRun,08:20.92,+06:50.68,04:01.29,true,890711,76561198293964874,[U:1:333699146],
2019-02-12,01:29.90,Starkie,jump_dan2,WR,MapRecord,,-00:00.33,00:01.66,false,891237,76561198008003429,[U:1:47737701],
2019-02-13,01:25.95,kater,jump_dan2,WR,MapRecord,,-00:03.95,00:04.28,false,891518,76561198222006144,[U:1:261740416],
2019-02-13,01:25.95,kater,jump_dan2,WR,IRC,,-00:03.95,,false,891566,,,
2019-02-13,01:24.86,Starkie,jump_dan2,WR,MapRecord,,-00:01.08,00:01.44,false,892195,76561198008003429,[U:1:47737701],
2019-02-16,01:23.89,kater,jump_dan2,WR,MapRecord,,-00:00.97,00:02.05,false,894045,76561198222006144,[U:1:261740416],
2019-03-21,01:23.05,newjuls,jump_dan2,WR,MapRecord,,-00:00.83,00:07.53,false,920758,76561198396018338,[U:1:435752610],
2019-10-06,00:05.67,revontulet,jump_dan2,WR,Bonus 1,,-00:00.29,00:00.31,false,1074998,76561198046601398,[U:1:86335670],
2019-11-18,01:16.74,hfk$ lilekinz,jump_dan2,WR,MapRecord,,-00:02.56,00:02.56,false,1105513,76561198222006144,[U:1:261740416],
2019-11-18,01:19.30,hfk$ lilekinz,jump_dan2,WR,MapRecord,,-00:03.75,00:04.58,false,1105513,76561198222006144,[U:1:261740416],
2021-08-01,01:15.63,phancy,jump_dan2,WR,IRC,,-00:01.11,,false,1654442,76561198116189732,[U:1:155924004],
2021-08-01,01:12.49,crops,jump_dan2,WR,IRC,,-00:01.72,,false,1654584,,,
2021-08-01,01:14.22,crops,jump_dan2,WR,IRC,,-00:00.16,,false,1654584,,,
2021-08-01,01:14.38,crops,jump_dan2,WR,IRC,,-00:01.24,,false,1654584,,,
2021-08-01,01:15.63,phancy,jump_dan2,WR,IRC,,-00:01.11,,false,1654584,,,
2021-08-01,01:15.63,phancy,jump_dan2,WR,MapRecord,,-00:01.11,00:06.67,false,1654608,76561198116189732,[U:1:155924004],
2021-08-01,01:12.49,crops,jump_dan2,WR,IRC,,-00:01.72,,false,1654644,,,
2021-08-01,01:14.22,crops,jump_dan2,WR,IRC,,-00:00.16,,false,1654644,,,
2021-08-01,01:14.38,crops,jump_dan2,WR,IRC,,-00:01.24,,false,1654644,,,
2021-08-01,01:12.49,crops,jump_dan2,WR,IRC,,-00:01.72,,false,1654684,,,
2021-08-01,01:14.22,crops,jump_dan2,WR,IRC,,-00:00.16,,false,1654684,,,
2021-08-01,01:14.38,crops,jump_dan2,WR,IRC,,-00:01.24,,false,1654684,,,
2021-08-01,01:12.49,crops,jump_dan2,WR,MapRecord,,-00:01.72,00:01.72,false,1654699,76561198222006144,[U:1:261740416],
2021-08-01,01:14.22,crops,jump_dan2,WR,MapRecord,,-00:00.16,00:00.16,false,1654699,76561198222006144,[U:1:261740416],
2021-08-01,01:14.38,crops,jump_dan2,WR,MapRecord,,-00:01.24,00:01.51,false,1654699,76561198222006144,[U:1:261740416],
2021-08-01,01:14.22,crops,jump_dan2,WR,IRC,,-00:00.16,,false,1654702,,,
2021-08-01,01:14.38,crops,jump_dan2,WR,IRC,,-00:01.24,,false,1654702,,,
2024-10-31,01:12.49,konichiwarts -tt,jump_dan2,WR,Compact,,,,false,3108905,,,
2024-11-22,01:12.49,kater,jump_dan2,WR,Compact,,,,false,3141017,,,
2025-12-14,00:05.55,₍ᐢᐢ₎.,jump_dan2,WR,Bonus 1,,-00:00.39,00:03.10,false,3676687,,,
