date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-12-30,29:18.52,Kyle,jump_segment_rc3,WR,Map,announcement,irc_set,,,,,76561198065151241,[U:1:104885513],
2019-12-30,26:54.23,obz,jump_segment_rc3,WR,Map,record,map_record,,-02:24.28,,1136496,76561198059596652,[U:1:99330924],
2019-12-30,05:45.29,Rue,jump_segment_rc3,WR,Map,announcement,irc,,-04:30.40,,,76561198046601398,[U:1:86335670],
2019-12-30,04:44.11,Rue,jump_segment_rc3,WR,Map,announcement,irc,,-01:01.18,,,76561198046601398,[U:1:86335670],
2019-12-30,04:26.26,Rue,jump_segment_rc3,WR,Map,announcement,irc,,-00:17.85,,,76561198046601398,[U:1:86335670],
2019-12-30,04:09.47,Rue,jump_segment_rc3,WR,Map,announcement,irc,,-00:16.78,,,76561198046601398,[U:1:86335670],
2019-12-30,00:07.54,mazlli,jump_segment_rc3,WR,Bonus 1,record,zone_first,,,,1136518,76561198040531861,[U:1:80266133],
2019-12-30,00:07.51,Soup -tt,jump_segment_rc3,WR,Bonus 1,record,zone_record,,-00:00.02,00:00.04,1136541,76561198029285343,[U:1:69019615],
2023-01-16,04:05.79,bunny.,jump_segment_rc3,WR,Map,announcement,irc,,-00:03.69,,,76561198201985399,[U:1:241719671],
2025-08-15,00:07.46,parkour!,jump_segment_rc3,WR,Bonus 1,command,rank_command,,,,,,,
