date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-10-22,02:36.55,Mayhem,jump_software,WR,Map,announcement,irc_set,,,,,76561198046934792,[U:1:86669064],
2018-10-22,01:25.72,vt,jump_software,WR,Map,announcement,irc,,-00:02.08,,,76561198013875009,[U:1:53609281],
2018-10-22,01:17.62,vt,jump_software,WR,Map,record,map_record,,-00:04.00,00:08.09,796240,76561198013875009,[U:1:53609281],
2018-10-22,01:16.03,shla'tomb'za,jump_software,WR,Map,record,map_record,,-00:01.59,00:04.54,796240,76561198099670197,[U:1:139404469],
2018-10-22,01:14.65,shla'tomb'za,jump_software,WR,Map,record,map_record,,-00:00.63,00:01.38,796240,76561198099670197,[U:1:139404469],
2018-10-22,01:09.49,vt,jump_software,WR,Map,record,map_record,,-00:05.15,00:08.13,796240,76561198013875009,[U:1:53609281],
2018-10-22,01:06.37,nightmare on elm,jump_software,WR,Map,announcement,irc,,-00:00.23,,,,,
2018-10-22,01:05.70,nightmare on elm,jump_software,WR,Map,announcement,irc,,-00:00.67,,,,,
2018-10-22,01:03.00,nightmare on elm,jump_software,WR,Map,announcement,irc,,-00:02.70,,,,,
2018-10-22,00:59.32,nightmare on elm,jump_software,WR,Map,announcement,irc,,-00:03.67,,,,,
2018-10-22,00:56.95,nightmare on elm,jump_software,WR,Map,record,map_record,,-00:02.37,00:02.37,796447,,,
2018-10-22,00:55.51,nightmare on elm,jump_software,WR,Map,record,map_record,,-00:01.43,00:01.43,796447,,,
2018-10-22,00:54.07,nightmare on elm,jump_software,WR,Map,record,map_record,,-00:01.44,00:01.44,796447,,,
2018-10-23,00:53.53,Jax-o'-lantern,jump_software,WR,Map,record,map_record,,-00:00.53,00:00.60,797010,76561198066650704,[U:1:106384976],
2018-10-24,00:51.35,Jax-o'-lantern,jump_software,WR,Map,record,map_record,,-00:02.17,00:02.17,797781,76561198066650704,[U:1:106384976],
2018-10-24,00:50.05,Jax-o'-lantern,jump_software,WR,Map,record,map_record,,-00:01.30,00:01.30,797781,76561198066650704,[U:1:106384976],
2018-10-24,00:49.46,Jax-o'-lantern,jump_software,WR,Map,record,map_record,,-00:00.58,00:00.58,797781,76561198066650704,[U:1:106384976],
2019-03-20,00:47.92,CrackuhJax,jump_software,WR,Map,record,map_record,,-00:01.54,00:01.54,919261,76561198066650704,[U:1:106384976],
2019-03-30,00:47.29,t,jump_software,WR,Map,record,map_record,,-00:00.63,00:01.87,927116,76561198066947056,[U:1:106681328],
2019-04-09,00:46.71,CrackuhJax,jump_software,WR,Map,record,map_record,,-00:00.58,00:00.85,935397,76561198066650704,[U:1:106384976],
2019-04-15,00:46.05,c__c,jump_software,WR,Map,record,map_record,,-00:00.66,00:00.82,940369,76561198066947056,[U:1:106681328],
2019-06-10,00:45.97,yeye (fire bende,jump_software,WR,Map,command,wr_command,,,,,,,
2019-07-01,00:45.93,i cant get my sw,jump_software,WR,Map,record,map_record,,-00:00.03,00:00.11,999621,,,
2019-07-01,00:45.01,droptear,jump_software,WR,Map,record,map_record,,-00:00.92,00:00.92,999621,,,
2021-01-12,00:44.47,diller,jump_software,WR,Map,record,map_record,,-00:00.54,00:00.97,1475975,76561198040963460,[U:1:80697732],
2024-01-30,00:43.39,wrath,jump_software,WR,Map,observed,wr_split,,,,,,,
2025-01-23,00:42.78,rev!4,jump_software,WR,Map,record,map_record,,-00:00.61,00:02.20,3233170,76561198101061668,[U:1:140795940],
2025-02-05,00:42.47,unknown,jump_software,WR,Map,observed,wr_split,,,,,,,
2025-04-21,00:42.46,wrath,jump_software,WR,Map,command,wr_command,,,,,,,
2025-05-30,00:42.04,fluctuat nec mer,jump_software,WR,Map,announcement,irc,,-00:00.42,,,,,
