date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2022-09-09,1:21:13.77,Karma,jump_vidarydkling_rc5,WR,IRCSet,,,,false,2052327,,,
2022-09-09,1:21:13.77,Karma,jump_vidarydkling_rc5,WR,IRCSet,,,,false,2052345,,,
2022-09-10,1:21:13.77,Karma,jump_vidarydkling_rc5,WR,IRCSet,,,,false,2052375,,,
2022-09-10,16:45.13,deluxeuser,jump_vidarydkling_rc5,WR,IRC,,-1:04:28.63,,false,2052375,,,
2022-09-10,1:21:13.77,Karma,jump_vidarydkling_rc5,WR,IRCSet,,,,false,2052401,76561198146782074,[U:1:186516346],
2022-09-10,16:45.13,deluxeuser,jump_vidarydkling_rc5,WR,MapRecord,,-1:04:28.63,1:42:01.05,false,2052401,76561198417147943,[U:1:456882215],
2022-09-10,06:41.56,deluxeuser,jump_vidarydkling_rc5,WR,IRC,,-02:42.48,,false,2052410,,,
2022-09-10,1:21:13.77,Karma,jump_vidarydkling_rc5,WR,IRCSet,,,,false,2052410,,,
2022-09-10,16:45.13,deluxeuser,jump_vidarydkling_rc5,WR,IRC,,-1:04:28.63,,false,2052410,,,
2022-09-10,1:21:13.77,Karma,jump_vidarydkling_rc5,WR,FirstRecord,,,,false,2052437,76561198146782074,[U:1:186516346],
2022-09-10,1:21:13.77,Karma,jump_vidarydkling_rc5,WR,IRCSet,,,,false,2052459,,,
2022-09-10,16:45.13,deluxeuser,jump_vidarydkling_rc5,WR,IRC,,-1:04:28.63,,false,2052459,,,
2022-09-10,1:21:13.77,Karma,jump_vidarydkling_rc5,WR,IRCSet,,,,false,2052466,,,
2022-09-10,16:45.13,deluxeuser,jump_vidarydkling_rc5,WR,IRC,,-1:04:28.63,,false,2052496,,,
2022-09-10,06:41.56,deluxeuser,jump_vidarydkling_rc5,WR,MapRecord,,-02:42.48,02:50.74,false,2052601,76561198417147943,[U:1:456882215],
2022-09-10,06:41.56,deluxeuser,jump_vidarydkling_rc5,WR,IRC,,-02:42.48,,false,2052632,,,
2022-09-10,06:41.56,deluxeuser,jump_vidarydkling_rc5,WR,Compact,,,,false,2052653,,,
2022-09-10,06:41.56,deluxeuser,jump_vidarydkling_rc5,WR,IRC,,-02:42.48,,false,2052653,,,
2022-09-10,06:41.56,deluxeuser,jump_vidarydkling_rc5,WR,IRC,,-02:42.48,,false,2052660,,,
2022-09-10,06:41.56,deluxeuser,jump_vidarydkling_rc5,WR,IRC,,-02:42.48,,false,2052662,,,
2022-09-10,04:22.42,Karma,jump_vidarydkling_rc5,WR,Compact,,,,false,2053157,76561198146782074,[U:1:186516346],
2022-09-10,04:22.42,bunny.,jump_vidarydkling_rc5,WR,MapRun,1:40:20.89,+1:35:58.47,,true,2053157,76561198201985399,[U:1:241719671],
2022-09-11,04:13.20,tripbaka,jump_vidarydkling_rc5,WR,MapRecord,,-00:09.22,02:14.08,false,2053662,76561198109904512,[U:1:149638784],
2022-09-11,03:18.16,VAVLIE,jump_vidarydkling_rc5,WR,MapRun,1:33:26.95,+1:30:08.79,,true,2054035,76561198014713685,[U:1:54447957],
2023-08-03,03:13.30,james17,jump_vidarydkling_rc5,WR,MapRecord,,-00:04.86,00:19.65,false,2435551,76561198362678073,[U:1:402412345],
2023-08-03,03:13.30,james17,jump_vidarydkling_rc5,WR,IRC,,-00:04.86,,false,2435566,,,
2023-08-04,03:06.37,james17,jump_vidarydkling_rc5,WR,IRC,,-00:06.93,,false,2437153,,,
2023-08-04,03:06.37,james17,jump_vidarydkling_rc5,WR,MapRecord,,-00:06.93,00:06.93,false,2437177,76561198362678073,[U:1:402412345],
2023-08-04,03:06.37,james17,jump_vidarydkling_rc5,WR,IRC,,-00:06.93,,false,2437237,,,
2023-08-05,02:51.52,james17,jump_vidarydkling_rc5,WR,MapRecord,,-00:14.85,00:14.85,false,2438295,76561198362678073,[U:1:402412345],
2023-08-05,02:51.52,james17,jump_vidarydkling_rc5,WR,IRC,,-00:14.85,,false,2438318,,,
2024-02-10,02:43.05,Selen Tatsuki,jump_vidarydkling_rc5,WR,MapRun,1:27:47.85,+1:25:04.80,,true,2725005,,,
2024-03-21,02:34.91,sammy,jump_vidarydkling_rc5,WR,MapRun,1:25:25.92,+1:22:51.01,,true,2783497,76561199001307670,[U:1:1041041942],
2024-07-30,02:34.90,cat EATING straw,jump_vidarydkling_rc5,WR,Compact,,,,false,2971433,,,
2024-07-31,02:34.90,james18,jump_vidarydkling_rc5,WR,Compact,,,,false,2973043,,,
2024-08-30,02:34.90,james18,jump_vidarydkling_rc5,WR,Compact,,,,false,3017248,76561198362678073,[U:1:402412345],
