date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-08-09,02:58.16,minty,jump_shunix_v2,WR,MapRecord,,-00:43.42,01:00.28,false,14627,76561198050815941,STEAM_0:1:45275106,
2014-08-09,03:41.59,xmasxmasmxmasm,jump_shunix_v2,WR,MapRecord,,-07:14.67,07:14.67,false,14627,76561198067226764,STEAM_0:0:53480518,
2014-08-09,10:56.27,xmasxmasmxmasm,jump_shunix_v2,WR,FirstRecord,,,,false,14627,76561198067226764,STEAM_0:0:53480518,
2014-08-09,02:58.16,minty,jump_shunix_v2,WR,IRC,,-00:43.42,,false,14630,,,
2014-08-09,03:41.59,xmasxmasmxmasm,jump_shunix_v2,WR,IRC,,-07:14.67,,false,14630,,,
2014-08-09,02:12.52,Superchuck,jump_shunix_v2,WR,MapRecord,,-00:19.37,00:19.37,false,14684,76561198064467753,STEAM_0:1:52101012,
2014-08-09,02:31.89,Superchuck,jump_shunix_v2,WR,MapRecord,,-00:18.23,00:18.23,false,14684,76561198064467753,STEAM_0:1:52101012,
2014-08-09,02:50.12,Superchuck,jump_shunix_v2,WR,MapRecord,,-00:08.03,00:22.92,false,14684,76561198064467753,STEAM_0:1:52101012,
2014-08-09,01:53.99,seras,jump_shunix_v2,WR,IRC,,-00:18.52,,false,14710,,,
2014-08-09,01:53.99,seras,jump_shunix_v2,WR,MapRecord,,-00:18.52,00:24.35,false,14712,76561198070882254,STEAM_0:0:55308263,
2014-08-09,01:53.99,seras,jump_shunix_v2,WR,Compact,,,,false,14716,,,
2014-08-23,01:52.55,Kucino,jump_shunix_v2,WR,MapRecord,,-00:01.43,00:20.99,false,17483,76561198045405184,[U:1:85139456],
2014-08-30,01:40.09,Seras,jump_shunix_v2,WR,MapRecord,,-00:03.67,00:03.67,false,19133,76561198070882254,[U:1:110616526],
2014-08-30,01:43.77,Seras,jump_shunix_v2,WR,MapRecord,,-00:08.78,00:10.22,false,19133,76561198070882254,[U:1:110616526],
2014-08-30,01:40.09,Seras,jump_shunix_v2,WR,IRC,,-00:03.67,,false,19139,76561198070882254,[U:1:110616526],
2014-10-06,01:37.66,Kucino -kk,jump_shunix_v2,WR,MapRecord,,-00:01.07,00:01.07,false,22053,76561198045405184,[U:1:85139456],
2014-10-06,01:38.74,Kucino -kk,jump_shunix_v2,WR,MapRecord,,-00:01.35,00:13.81,false,22053,76561198045405184,[U:1:85139456],
2015-01-14,01:31.94,mAD_whyPZ,jump_shunix_v2,WR,MapRecord,,-00:05.71,00:05.71,false,49927,76561198045405184,[U:1:85139456],
2015-03-10,01:29.26,Soup Can,jump_shunix_v2,WR,MapRecord,,-00:02.68,00:03.53,false,69133,76561198029285343,[U:1:69019615],
2015-08-22,01:27.17,879m,jump_shunix_v2,WR,MapRecord,,-00:02.08,00:03.06,false,131299,76561198043793220,[U:1:83527492],
2015-09-12,01:25.83,snrs,jump_shunix_v2,WR,MapRecord,,-00:01.34,00:03.52,false,139381,76561198042495717,[U:1:82229989],
2018-01-21,01:13.82,nygaard,jump_shunix_v2,WR,MapRecord,,-00:00.09,00:00.09,false,556667,76561198029285343,[U:1:69019615],
2018-01-21,01:13.91,nygaard,jump_shunix_v2,WR,MapRecord,,-00:00.91,,false,556667,76561198029285343,[U:1:69019615],
2020-11-20,01:12.57,Skinny.,jump_shunix_v2,WR,MapRecord,,-00:01.25,00:05.55,false,1423551,76561198180610262,[U:1:220344534],
2020-11-20,01:12.57,Skinny.,jump_shunix_v2,WR,IRC,,-00:01.25,,false,1423553,,,
2021-01-13,01:08.74,紅蓮華,jump_shunix_v2,WR,MapRecord,,-00:01.59,00:06.69,false,1476587,76561198366368448,[U:1:406102720],
2023-03-30,01:07.83,Leonhard □□,jump_shunix_v2,WR,MapRun,13:51.52,+12:43.69,,true,2252758,,,
2024-05-19,01:07.83,suh,jump_shunix_v2,WR,Compact,,,,false,2865464,,,
2024-05-19,01:07.83,suh,jump_shunix_v2,WR,Compact,,,,false,2865464,,,
2024-05-20,01:07.83,suh,jump_shunix_v2,WR,Compact,,,,false,2866245,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868333,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868347,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868340,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868339,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868362,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868356,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868367,76561198094197569,[U:1:133931841],
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868386,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,MapRecord,,-00:00.25,00:01.21,false,2868332,76561198094197569,[U:1:133931841],
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868295,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868366,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868375,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868388,,,
2024-05-21,01:07.57,Luffin,jump_shunix_v2,WR,IRC,,-00:00.25,,false,2868301,,,
