date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-07-27,13:36.29,yeev,jump_broccoli,WR,Map,record,first_record,,,,12482,76561198061032178,STEAM_0:0:50383225,
2014-07-27,06:50.51,yeev,jump_broccoli,WR,Map,record,map_record,,-06:45.77,06:45.77,12482,76561198061032178,STEAM_0:0:50383225,
2014-07-27,05:10.69,Tom,jump_broccoli,WR,Map,record,map_record,,-01:39.82,,12485,76561197996055527,STEAM_0:1:17894899,
2014-07-27,04:54.25,oka | poop acade...,jump_broccoli,WR,Map,record,map_record,,-00:16.43,,12485,76561198070882254,STEAM_0:0:55308263,
2014-07-27,02:53.21,oka | poop acade...,jump_broccoli,WR,Map,record,map_record,,-02:01.04,02:01.04,12485,76561198070882254,STEAM_0:0:55308263,
2014-07-27,02:35.34,oka | poop acade...,jump_broccoli,WR,Map,record,map_record,,-00:17.86,00:17.86,12485,76561198070882254,STEAM_0:0:55308263,
2014-07-27,02:29.37,Larrito,jump_broccoli,WR,Map,record,map_record,,-00:05.97,03:55.30,12491,76561198046600412,STEAM_0:0:43167342,
2014-07-27,02:17.69,cody,jump_broccoli,WR,Map,record,map_record,,-00:11.67,01:13.08,12545,76561198078488228,STEAM_0:0:59111250,
2014-07-31,02:07.42,cody,jump_broccoli,WR,Map,record,map_record,,-00:10.27,00:10.27,13015,76561198078488228,STEAM_0:0:59111250,
2014-10-27,02:05.56,Not Freddy Fazbe,jump_broccoli,WR,Map,record,map_record,,-00:01.85,00:13.73,26504,,,
2014-10-28,02:04.76,elco is my hero,jump_broccoli,WR,Map,record,map_record,,-00:00.79,00:11.83,26701,76561198045405184,[U:1:85139456],
2014-10-28,01:56.59,elco is my hero,jump_broccoli,WR,Map,record,map_record,,-00:08.17,00:08.17,26701,76561198045405184,[U:1:85139456],
2014-11-27,01:55.42,Superchuck #brin,jump_broccoli,WR,Map,record,map_record,,-00:01.17,00:09.22,33344,,,
2014-12-04,01:55.15,a b boys rock th,jump_broccoli,WR,Map,record,map_record,,-00:00.27,00:01.44,34823,,,
2015-03-13,01:50.42,Soup Can,jump_broccoli,WR,Map,record,map_record,,-00:04.72,00:22.54,70112,76561198029285343,[U:1:69019615],
2015-07-01,01:48.16,euunji,jump_broccoli,WR,Map,observed,wr_split,,,,,,,
2015-07-25,01:46.85,kucino -tt | tip,jump_broccoli,WR,Map,record,map_record,,-00:01.30,00:03.86,119970,,,
2015-08-22,01:43.91,Soup caN -tt | t,jump_broccoli,WR,Map,record,map_record,,-00:02.94,00:06.50,131608,,,
2017-12-01,01:38.43,unknown,jump_broccoli,WR,Map,observed,wr_split,,,,,,,
2017-12-01,01:36.72,Boshy,jump_broccoli,WR,Map,record,map_record,,-00:01.69,00:03.08,515263,76561198046601398,[U:1:86335670],
2018-01-27,01:30.85,Soup -tt,jump_broccoli,WR,Map,record,map_record,,-00:05.87,,561934,76561198029285343,[U:1:69019615],
2019-07-12,01:30.16,Soup -tt,jump_broccoli,WR,Map,record,map_record,,-00:00.69,00:00.69,1008275,76561198029285343,[U:1:69019615],
2021-11-10,01:29.16,vice,jump_broccoli,WR,Map,record,map_record,,-00:01.00,00:01.48,1761798,76561198366368448,[U:1:406102720],
2022-02-18,01:28.60,Soup -tt,jump_broccoli,WR,Map,record,map_record,,-00:00.55,00:01.56,1861783,76561198029285343,[U:1:69019615],
