date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-01-05,07:56.79,Zike1017 ツ,jump_schadenfreude_rc1,WR,Map,record,map_record,,-02:00.41,02:00.41,543951,76561198050366275,[U:1:90100547],
2018-03-05,06:45.99,Starkie,jump_schadenfreude_rc1,WR,Map,record,map_record,,-01:10.80,01:42.88,592046,76561198008003429,[U:1:47737701],
2018-04-28,06:27.19,twitch.tv/zike10,jump_schadenfreude_rc1,WR,Map,record,map_record,,-00:18.79,01:29.59,635856,,,
2018-04-30,05:30.94,Starkie,jump_schadenfreude_rc1,WR,Map,record,map_record,,-00:56.25,01:15.04,637541,76561198008003429,[U:1:47737701],
2018-05-16,05:23.41,Starkie,jump_schadenfreude_rc1,WR,Map,record,map_record,,-00:07.52,00:07.52,651119,76561198008003429,[U:1:47737701],
2018-05-16,05:10.78,Starkie,jump_schadenfreude_rc1,WR,Map,record,map_record,,-00:12.63,00:12.63,651119,76561198008003429,[U:1:47737701],
2018-07-16,05:00.59,newjuls,jump_schadenfreude_rc1,WR,Map,record,map_record,,-00:10.18,03:08.40,707989,76561198396018338,[U:1:435752610],
2019-09-10,04:51.85,twitch.tv/zike10,jump_schadenfreude_rc1,WR,Map,record,map_record,,-00:08.74,01:27.37,1054895,,,
2020-08-03,04:36.78,gonk,jump_schadenfreude_rc1,WR,Map,record,map_record,,-00:15.07,07:42.38,1316510,76561198396018338,[U:1:435752610],
2021-02-13,04:05.49,twitch.tv/zike10,jump_schadenfreude_rc1,WR,Map,record,map_record,,-00:31.29,00:46.37,1506815,,,
2022-11-15,04:00.39,Matty,jump_schadenfreude_rc1,WR,Map,record,map_record,,-00:05.10,00:19.05,2117852,76561198035204545,[U:1:74938817],
2023-02-05,03:44.88,newjuls,jump_schadenfreude_rc1,WR,Map,record,map_record,,-00:15.51,00:51.30,2205266,76561198396018338,[U:1:435752610],
2023-05-31,03:41.01,Matty,jump_schadenfreude_rc1,WR,Map,record,map_record,,-00:03.87,00:04.59,2342029,76561198035204545,[U:1:74938817],
