date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-02-22,08:16.73,Ryu,jump_heck,WR,Map,record,first_record,,,,899251,76561198366368448,[U:1:406102720],
2019-02-22,06:10.39,Hona,jump_heck,WR,Map,record,map_record,,-01:10.53,06:01.73,899275,76561198221809496,[U:1:261543768],
2019-02-22,00:24.52,Ryu,jump_heck,WR,Bonus 3,record,zone_first,,,,899251,76561198366368448,[U:1:406102720],
2019-02-22,01:10.35,Ryu,jump_heck,WR,Bonus 1,record,zone_first,,,,899251,76561198366368448,[U:1:406102720],
2019-02-22,00:58.55,vov&sons,jump_heck,WR,Bonus 1,record,zone_record,,-00:11.79,,899273,76561198074337139,[U:1:114071411],
2019-02-22,05:53.61,unknown,jump_heck,WR,Map,observed,wr_split,,,,,,,
2019-02-22,05:10.94,newjuls,jump_heck,WR,Map,record,map_record,,-00:42.66,02:22.11,899652,76561198396018338,[U:1:435752610],
2019-02-22,00:43.81,newjuls,jump_heck,WR,Bonus 1,record,zone_record,,-00:14.74,,899652,76561198396018338,[U:1:435752610],
2019-02-22,04:45.52,newjuls,jump_heck,WR,Map,record,map_record,,-00:25.41,00:25.41,899731,76561198396018338,[U:1:435752610],
2019-02-22,04:10.02,newjuls,jump_heck,WR,Map,record,map_record,,-00:35.49,00:35.49,899731,76561198396018338,[U:1:435752610],
2019-06-13,01:10.03,newjuls,jump_heck,WR,Bonus 2,command,wr_command,,,,,76561198396018338,[U:1:435752610],
2019-11-04,03:56.30,i just did a poo,jump_heck,WR,Map,record,map_record,,-00:13.71,00:20.58,1096465,,,
2020-10-10,00:10.81,cander,jump_heck,WR,Bonus 3,record,zone_record,,-00:00.03,00:00.69,1382978,76561198318722879,[U:1:358457151],
2020-10-11,00:10.57,song,jump_heck,WR,Bonus 3,record,zone_record,,-00:00.24,00:01.27,1384049,76561198210286877,[U:1:250021149],
2020-10-11,00:10.45,song,jump_heck,WR,Bonus 3,record,zone_record,,-00:00.12,00:00.12,1384049,76561198210286877,[U:1:250021149],
2020-10-11,00:10.05,song,jump_heck,WR,Bonus 3,record,zone_record,,-00:00.40,00:00.40,1384049,76561198210286877,[U:1:250021149],
2020-10-11,00:09.04,song,jump_heck,WR,Bonus 3,record,zone_record,,-00:01.00,00:01.00,1384049,76561198210286877,[U:1:250021149],
2020-12-28,00:32.05,ุ,jump_heck,WR,Bonus 1,record,zone_record,,-00:01.90,00:05.26,1461318,76561198222006144,[U:1:261740416],
2021-02-21,03:54.75,phancy,jump_heck,WR,Map,record,map_record,,-00:01.56,00:01.80,1515748,76561198116189732,[U:1:155924004],
2021-02-23,00:29.94,17,jump_heck,WR,Bonus 1,record,zone_record,,-00:00.73,00:02.11,1517291,76561198222006144,[U:1:261740416],
2021-03-24,03:42.42,FLOODED,jump_heck,WR,Map,announcement,irc,,-00:12.33,,,76561198222006144,[U:1:261740416],
2021-09-23,03:41.26,phancy,jump_heck,WR,Map,record,map_record,,-00:01.15,00:13.48,1710659,76561198116189732,[U:1:155924004],
2022-05-05,00:28.75,Jorge,jump_heck,WR,Bonus 1,record,zone_record,,-00:01.18,00:01.45,1938679,76561198101198779,[U:1:140933051],
2023-12-14,03:35.82,phancy,jump_heck,WR,Map,record,map_record,,-00:03.10,00:05.44,2637009,76561198116189732,[U:1:155924004],
2024-03-10,00:45.12,phancy,jump_heck,WR,Bonus 2,command,rank_command,,,,,,,
