date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-12-12,01:40.69,Ltfx,jump_drexen,WR,Bonus 1,record,zone_record,,-00:18.35,01:59.62,36169,76561198051610309,[U:1:91344581],
2014-12-12,01:27.19,Chaos,jump_drexen,WR,Bonus 1,record,zone_record,,-00:13.50,06:22.40,36169,76561198028155075,[U:1:67889347],
2014-12-29,02:20.55,Vexon,jump_drexen,WR,Map,record,map_record,,-00:10.69,00:21.92,42542,76561198012510479,[U:1:52244751],
2015-01-01,02:07.31,guyyst,jump_drexen,WR,Map,record,map_record,,-00:13.23,00:23.92,43568,76561198041343262,[U:1:81077534],
2018-05-04,01:50.56,Boshy,jump_drexen,WR,Map,command,wr_command,,,,,,,
2019-03-11,00:58.63,Boshy,jump_drexen,WR,Bonus 1,command,wr_command,,,,,76561198046601398,[U:1:86335670],
2020-02-26,01:50.13,unknown,jump_drexen,WR,Map,observed,wr_split,,,,,,,
2020-02-26,01:47.14,Boshy,jump_drexen,WR,Map,record,map_record,,-00:02.98,00:03.42,1181890,76561198046601398,[U:1:86335670],
2020-02-26,01:46.21,Boshy,jump_drexen,WR,Map,record,map_record,,-00:00.92,00:00.92,1181940,76561198046601398,[U:1:86335670],
2020-02-26,01:41.22,Boshy,jump_drexen,WR,Map,record,map_record,,-00:04.99,00:04.99,1181940,76561198046601398,[U:1:86335670],
2022-04-20,01:39.88,maxxy,jump_drexen,WR,Map,record,map_record,,-00:01.34,00:03.75,1922409,76561198083235528,[U:1:122969800],
2023-10-31,01:39.21,newjuls,jump_drexen,WR,Map,record,map_record,,-00:00.67,00:06.16,2570234,76561198396018338,[U:1:435752610],
2024-10-05,00:51.76,newjuls,jump_drexen,WR,Bonus 1,record,zone_record,,-00:01.89,00:02.38,3070102,76561198396018338,[U:1:435752610],
