date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2021-09-03,08:12.46,la musica de hai,jump_gervais_v3,WR,IRCSet,,,,false,1693500,,
2021-09-03,04:42.25,IzzyHoP,jump_gervais_v3,WR,IRC,,-03:30.21,,false,1693556,,
2021-09-04,04:19.70,toopliss,jump_gervais_v3,WR,MapRun,18:36.90,+14:17.20,,true,1693661,76561198156363920,[U:1:196098192]
2021-09-04,03:43.78,sam,jump_gervais_v3,WR,MapRun,09:22.63,+05:38.85,,true,1693817,76561198045707908,[U:1:85442180]
2021-09-04,03:17.28,resistance is fu,jump_gervais_v3,WR,IRC,,-00:17.97,,false,1694116,,
2021-09-05,02:47.58,resistance is fu,jump_gervais_v3,WR,IRC,,-00:28.18,,false,1695354,,
2022-12-03,02:17.11,deluxeuser,jump_gervais_v3,WR,IRC,,-00:08.53,,false,2135794,,
2022-12-04,02:09.99,deluxeuser,jump_gervais_v3,WR,IRC,,-00:07.12,,false,2136008,,
2023-08-27,02:09.88,daelin,jump_gervais_v3,WR,MapRun,05:55.39,+03:45.51,,true,2474833,,
2023-08-29,01:58.14,Zagrfige,jump_gervais_v3,WR,MapRecord,,-00:06.42,00:08.79,false,2477957,,
2023-09-02,01:56.67,Zagrfige,jump_gervais_v3,WR,IRC,,-00:01.47,,false,2484167,,
2023-09-03,01:48.43,Zagrfige,jump_gervais_v3,WR,IRC,,-00:02.95,,false,2484548,,
