date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-09-28,00:10.57,CinnaBun,jump_kuna,WR,Bonus 1,record,zone_first,,,,774448,76561198070910408,[U:1:110644680],
2018-09-28,03:45.50,Starkie,jump_kuna,WR,Map,record,first_record,,,,774454,76561198008003429,[U:1:47737701],
2018-09-28,02:54.53,Starkie,jump_kuna,WR,Map,record,map_record,,-00:50.97,00:50.97,774454,76561198008003429,[U:1:47737701],
2018-09-28,02:12.59,Starkie,jump_kuna,WR,Map,record,map_record,,-00:41.93,00:41.93,774454,76561198008003429,[U:1:47737701],
2018-09-28,02:03.45,Starkie,jump_kuna,WR,Map,record,map_record,,-00:09.14,00:09.14,774454,76561198008003429,[U:1:47737701],
2018-09-28,01:31.06,Starkie,jump_kuna,WR,Map,record,map_record,,-00:32.39,00:32.39,774454,76561198008003429,[U:1:47737701],
2018-09-28,01:30.62,Starkie,jump_kuna,WR,Map,record,map_record,,-00:00.43,00:00.43,774454,76561198008003429,[U:1:47737701],
2018-09-28,00:08.00,ondkaja,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.34,00:00.53,774454,76561198010123351,[U:1:49857623],
2018-09-28,00:07.87,ondkaja,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.13,00:00.13,774454,76561198010123351,[U:1:49857623],
2018-09-28,00:06.98,Chief,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.88,00:01.43,774465,76561198122579111,[U:1:162313383],
2018-09-28,01:23.50,kidder,jump_kuna,WR,Map,record,map_record,,-00:03.15,00:03.15,774465,,,
2018-09-28,01:20.86,un gato,jump_kuna,WR,Map,record,map_record,,-00:02.63,00:11.65,774664,76561198066351321,[U:1:106085593],
2018-10-20,01:17.76,mr.  funnyskelet,jump_kuna,WR,Map,record,map_record,,-00:03.10,00:03.10,794902,,,
2018-11-15,01:12.99,spongebob2,jump_kuna,WR,Map,record,map_record,,-00:04.77,00:04.77,816914,76561198066351321,[U:1:106085593],
2018-11-16,00:06.13,Chief,jump_kuna,WR,Bonus 1,command,wr_command,,,,,,,
2018-11-16,00:05.89,Boshy,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.23,00:00.24,817595,76561198046601398,[U:1:86335670],
2020-08-18,01:11.53,twitch.tv/boshyt,jump_kuna,WR,Map,record,map_record,,-00:01.45,00:03.42,1329707,,,
2022-04-09,00:05.82,nibs,jump_kuna,WR,Bonus 1,record,zone_record,,-00:01.05,00:01.05,1911404,76561198035282173,[U:1:75016445],
2022-06-28,01:11.22,IzzyHoP -tt,jump_kuna,WR,Map,record,map_record,,-00:00.31,00:00.81,1988712,76561197995927883,[U:1:35662155],
2023-02-14,00:05.64,nibs,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.18,00:00.18,2213729,76561198035282173,[U:1:75016445],
2023-05-19,01:11.19,Helmi.,jump_kuna,WR,Map,record,map_record,,-00:00.03,00:01.60,2325371,76561198201985399,[U:1:241719671],
2023-11-27,00:05.49,c00kie,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.42,00:00.42,2610478,76561198418178297,[U:1:457912569],
2023-12-05,01:10.38,Rellort -fwo -gu,jump_kuna,WR,Map,record,map_record,,-00:00.81,00:07.57,2622264,,,
2023-12-05,01:10.06,Helmi. -CC,jump_kuna,WR,Map,record,map_record,,-00:00.31,00:01.12,2623065,76561198201985399,[U:1:241719671],
2023-12-05,01:08.53,Helmi. -CC,jump_kuna,WR,Map,record,map_record,,-00:01.53,00:01.53,2623400,76561198201985399,[U:1:241719671],
2023-12-10,00:05.32,nibs,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.16,00:00.28,2630441,76561198035282173,[U:1:75016445],
2024-11-06,00:05.19,c00kie,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.19,00:00.19,3117134,76561198418178297,[U:1:457912569],
2024-11-06,00:05.16,c00kie,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.03,3117134,76561198418178297,[U:1:457912569],
2024-12-02,00:04.75,52.52,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.67,00:00.67,3154925,76561198231320900,[U:1:271055172],
2024-12-05,00:04.74,Angle batista,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.40,00:00.40,3160391,76561199514776310,[U:1:1554510582],
2024-12-06,00:04.63,Angle batista,jump_kuna,WR,Bonus 1,record,zone_record,,-00:00.10,00:00.10,3161436,76561199514776310,[U:1:1554510582],
2026-01-05,01:06.86,nikita@gosuslugi,jump_kuna,WR,Map,record,map_record,,-00:01.98,00:01.98,3704988,,,
