date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-08-01,11:42.96,Aurora,jump_daylight_a2,WR,Map,record,map_record,,-04:53.81,,13213,76561198053067670,STEAM_0:0:46400971,
2014-10-14,10:02.32,jondy,jump_daylight_a2,WR,Map,record,map_record,,-01:40.63,02:03.10,23673,76561198055778722,[U:1:95512994],
2015-03-02,10:01.55,beyblade,jump_daylight_a2,WR,Map,record,map_record,,-00:00.77,15:42.11,66435,76561198070882254,[U:1:110616526],
2015-03-02,08:15.26,JoNdEeZy,jump_daylight_a2,WR,Map,record,map_record,,-01:46.29,01:47.06,66600,76561198055778722,[U:1:95512994],
2015-04-27,07:53.63,LTT,jump_daylight_a2,WR,Map,record,map_record,,-00:21.62,17:25.30,87245,76561198066563951,[U:1:106298223],
2015-05-03,06:36.76,jondyj,jump_daylight_a2,WR,Map,record,map_record,,-01:16.87,01:38.49,89114,76561198055778722,[U:1:95512994],
2018-08-18,04:40.21,hibiscus,jump_daylight_a2,WR,Map,command,wr_command,,,,,76561198046601398,[U:1:86335670],
2018-08-18,04:25.74,hibiscus,jump_daylight_a2,WR,Map,record,map_record,,-00:14.47,00:14.47,737456,76561198046601398,[U:1:86335670],
2019-09-08,04:04.81,Madeline,jump_daylight_a2,WR,Map,record,map_record,,-00:20.92,00:20.92,1053572,76561198046601398,[U:1:86335670],
2022-05-01,04:04.57,ondkaja,jump_daylight_a2,WR,Map,record,map_record,,-00:00.24,00:32.20,1934543,76561198010123351,[U:1:49857623],
2023-02-06,03:52.14,Le Gume,jump_daylight_a2,WR,Map,record,map_record,,-00:12.43,00:27.75,2206138,76561199058834773,[U:1:1098569045],
2023-07-21,03:46.24,ondkaja,jump_daylight_a2,WR,Map,record,map_record,,-00:05.89,00:06.88,2416942,76561198010123351,[U:1:49857623],
2024-11-24,03:41.05,makly,jump_daylight_a2,WR,Map,record,map_record,,-00:05.19,00:39.94,3144551,76561197976761681,[U:1:16495953],
